batch,external_food_id,original_chinese_name,category_level_1,category_level_2,brand,publish_decision,final_chinese_name,reviewer_notes,reviewed_at
Batch-01,F001884,鲷鱼（鱼柳、生）,fish_seafood,,,disable,鲷鱼（鱼柳、生）,,
Batch-01,F001885,鲷鱼（鱼柳、蒸制、无加油脂）,fish_seafood,,,disable,鲷鱼（鱼柳、蒸制、无加油脂）,,
Batch-01,F008359,笛鲷（鱼柳、生）,fish_seafood,,,disable,笛鲷（鱼柳、生）,,
Batch-01,F004256,科尼雄葡萄（生）,fruits,,,disable,科尼雄葡萄（生）,,
Batch-01,F001905,西兰花（新鲜、生）,vegetables,cruciferous_vegetables,,publish,西兰花,,
Batch-01,F003017,速溶黑咖啡,beverages_non_alcoholic,coffee,,disable,速溶黑咖啡,,
Batch-01,F003041,意式浓缩咖啡（咖啡豆研磨冲泡）,beverages_non_alcoholic,,,disable,意式浓缩咖啡（咖啡豆研磨冲泡）,,
Batch-01,F004099,苹果汁饮料,beverages_non_alcoholic,,,disable,苹果汁饮料,,
Batch-01,F004114,橙汁饮料,beverages_non_alcoholic,,,disable,橙汁饮料,,
Batch-01,F005696,矿泉水（原味、原味）,beverages_non_alcoholic,,,disable,矿泉水（原味、原味）,,
Batch-01,F009117,绿茶（原味、不加奶）,beverages_non_alcoholic,,,disable,绿茶（原味、不加奶）,,
Batch-01,F009125,红茶（茶叶或茶包冲泡、不加奶）,beverages_non_alcoholic,tea,,disable,红茶（茶叶或茶包冲泡、不加奶）,,
Batch-01,F009527,自来水,beverages_non_alcoholic,water,,disable,自来水,,
Batch-01,F003607,法式或意式沙拉酱（全脂、市售）,condiments_sauces,,,disable,法式或意式沙拉酱（全脂、市售）,,
Batch-01,F003612,千岛酱（全脂、市售）,condiments_sauces,,,disable,千岛酱（全脂、市售）,,
Batch-01,F004263,肉汁粉（干粉）,condiments_sauces,,,disable,肉汁粉（干粉）,,
Batch-01,F005441,蛋黄酱（传统型（脂肪高于65%）、市售）,condiments_sauces,,,disable,蛋黄酱（传统型（脂肪高于65%）、市售）,,
Batch-01,F005973,芥末酱（乳脂状）,condiments_sauces,,,disable,芥末酱（乳脂状）,,
Batch-01,F006469,绿咖喱酱（市售）,condiments_sauces,,,disable,绿咖喱酱（市售）,,
Batch-01,F006471,印度咖喱酱（市售）,condiments_sauces,,,disable,印度咖喱酱（市售）,,
Batch-01,F006830,盐渍李子,condiments_sauces,,,disable,盐渍李子,,
Batch-01,F007878,食盐（加碘）,condiments_sauces,,,disable,食盐（加碘）,,
Batch-01,F007879,食盐（未加碘）,condiments_sauces,seasonings,,disable,食盐（未加碘）,,
Batch-01,F007987,烧烤酱（市售）,condiments_sauces,,,disable,烧烤酱（市售）,,
Batch-01,F007992,黄油鸡酱（市售）,condiments_sauces,,,disable,黄油鸡酱（市售）,,
Batch-01,F008004,鱼露（市售）,condiments_sauces,,,disable,鱼露（市售）,,
Batch-01,F008008,海鲜酱（市售）,condiments_sauces,,,disable,海鲜酱（市售）,,
Batch-01,F008026,蚝油（市售）,condiments_sauces,,,disable,蚝油（市售）,,
Batch-01,F008065,酱油,condiments_sauces,sauces,,disable,酱油,,
Batch-01,F008973,原糖,condiments_sauces,,,publish,原糖,,
Batch-01,F008976,白砂糖,condiments_sauces,sweeteners,,publish,白砂糖,,
Batch-01,F002405,蓝纹奶酪,dairy,,,disable,蓝纹奶酪,,
Batch-01,F002406,小莫扎里拉奶酪,dairy,,,disable,小莫扎里拉奶酪,,
Batch-01,F002407,布里奶酪,dairy,,,disable,布里奶酪,,
Batch-01,F002408,卡芒贝尔奶酪,dairy,,,disable,卡芒贝尔奶酪,,
Batch-01,F002413,切达奶酪（原味、低脂(~25%)）,dairy,,,disable,切达奶酪（原味、低脂(~25%)）,,
Batch-01,F002414,天然全脂切达奶酪,dairy,cheese,,disable,天然全脂切达奶酪,,
Batch-01,F002425,切达奶酪（再制、低脂(~15%)、添加维生素D）,dairy,,,disable,切达奶酪（再制、低脂(~15%)、添加维生素D）,,
Batch-01,F002428,切达奶酪（再制、全脂）,dairy,,,disable,切达奶酪（再制、全脂）,,
Batch-01,F002435,茅屋奶酪,dairy,,,disable,茅屋奶酪,,
Batch-01,F002444,奶油奶酪（原味）,dairy,,,disable,奶油奶酪（原味）,,
Batch-01,F002452,菲达奶酪,dairy,,,disable,菲达奶酪,,
Batch-01,F002462,山羊奶酪（硬质）,dairy,,,disable,山羊奶酪（硬质）,,
Batch-01,F002463,山羊奶酪（软质）,dairy,,,disable,山羊奶酪（软质）,,
Batch-01,F002466,哈罗米奶酪,dairy,,,disable,哈罗米奶酪,,
Batch-01,F002478,帕玛森奶酪（干制、细磨碎）,dairy,,,disable,帕玛森奶酪（干制、细磨碎）,,
Batch-01,F002479,帕玛森奶酪（新鲜、全脂）,dairy,,,disable,帕玛森奶酪（新鲜、全脂）,,
Batch-01,F002488,瑞科塔奶酪,dairy,,,disable,瑞科塔奶酪,,
Batch-01,F005580,牛奶（淡炼乳罐装、低脂(~2%)）,dairy,,,disable,牛奶（淡炼乳罐装、低脂(~2%)）,,
Batch-01,F005581,牛奶（淡炼乳罐装、普通）,dairy,,,disable,牛奶（淡炼乳罐装、普通）,,
Batch-01,F005582,牛奶（甜炼乳罐装、普通）,dairy,,,disable,牛奶（甜炼乳罐装、普通）,,
Batch-01,F005599,牛奶（液态、无乳糖、全脂(~3.5%)）,dairy,,,publish,无乳糖全脂牛奶（约3.5%）,,
Batch-01,F005614,牛奶（液态、低脂(~1%)）,dairy,,,publish,低脂牛奶（约1%）,,
Batch-01,F005621,牛奶（液态、低脂(~1.5%)、添加欧米伽-3多不饱和脂肪）,dairy,,,disable,牛奶（液态、低脂(~1.5%)、添加欧米伽-3多不饱和脂肪）,,
Batch-01,F005634,全脂牛奶,dairy,,,disable,全脂牛奶,,
Batch-01,F005635,牛奶（液态、全脂(~3.5%)、添加欧米伽-3多不饱和脂肪）,dairy,,,disable,牛奶（液态、全脂(~3.5%)、添加欧米伽-3多不饱和脂肪）,,
Batch-01,F005637,牛奶（液态、脱脂（0.15%脂肪））,dairy,,,disable,牛奶（液态、脱脂（0.15%脂肪））,,
Batch-01,F005648,牛奶（粉末、全脂）,dairy,,,disable,牛奶（粉末、全脂）,,
Batch-01,F005650,牛奶（粉末、全脂、未强化）,dairy,,,disable,牛奶（粉末、全脂、未强化）,,
Batch-01,F005652,牛奶（粉末、脱脂）,dairy,,,disable,牛奶（粉末、脱脂）,,
Batch-01,F009694,原味全脂酸奶,dairy,yoghurt,,disable,原味全脂酸奶,,
Batch-01,F009919,原味羊奶酸奶,dairy,,,disable,原味羊奶酸奶,,
Batch-01,F010020,哈罗米奶酪（减盐）,dairy,,,disable,哈罗米奶酪（减盐）,,
Batch-01,F003705,鸡蛋清（水煮熟）,eggs,,,disable,鸡蛋清（水煮熟）,,
Batch-01,F003706,鸡蛋清（生）,eggs,,,publish,鸡蛋清（生）,,
Batch-01,F003721,全鸡蛋（水煮熟）,eggs,,,disable,全鸡蛋（水煮熟）,,
Batch-01,F003723,全鸡蛋（强化欧米伽-3多不饱和脂肪、水煮）,eggs,,,disable,全鸡蛋（强化欧米伽-3多不饱和脂肪、水煮）,,
Batch-01,F003724,全鸡蛋（强化欧米伽-3多不饱和脂肪、生）,eggs,,,disable,全鸡蛋（强化欧米伽-3多不饱和脂肪、生）,,
Batch-01,F003729,全鸡蛋（生）,eggs,,,publish,全鸡蛋（生）,,
Batch-01,F003736,鸡蛋黄（水煮熟）,eggs,,,disable,鸡蛋黄（水煮熟）,,
Batch-01,F003737,鸡蛋黄（生）,eggs,,,disable,鸡蛋黄（生）,,
Batch-01,F000002,黑边鲍鱼（养殖、生）,fish_seafood,,,disable,黑边鲍鱼（养殖、生）,,
Batch-01,F000003,黑边鲍鱼（野生、生）,fish_seafood,,,disable,黑边鲍鱼（野生、生）,,
Batch-01,F000004,棕边鲍鱼（野生、生）,fish_seafood,,,disable,棕边鲍鱼（野生、生）,,
Batch-01,F000005,绿边鲍鱼（养殖、生）,fish_seafood,,,disable,绿边鲍鱼（养殖、生）,,
Batch-01,F000006,绿边鲍鱼（野生、生）,fish_seafood,,,disable,绿边鲍鱼（野生、生）,,
Batch-01,F000386,金目鲈（养殖、鱼柳、生）,fish_seafood,,,publish,金目鲈（养殖、鱼柳、生）,,
Batch-01,F000402,巴沙鱼（鱼柳、生）,fish_seafood,,,publish,巴沙鱼（鱼柳、生）,,
Batch-01,F003973,平头鱼（鱼柳、生）,fish_seafood,,,disable,平头鱼（鱼柳、生）,,
Batch-01,F003974,平头鱼（鱼柳、蒸制、无加油脂）,fish_seafood,,,disable,平头鱼（鱼柳、蒸制、无加油脂）,,
Batch-01,F004202,银鳞鲳鱼（鱼柳、生）,fish_seafood,,,disable,银鳞鲳鱼（鱼柳、生）,,
Batch-01,F004203,银鳞鲳鱼（鱼柳、蒸制、无加油脂）,fish_seafood,,,disable,银鳞鲳鱼（鱼柳、蒸制、无加油脂）,,
Batch-01,F005659,虱目鱼（养殖、鱼柳、生）,fish_seafood,,,disable,虱目鱼（养殖、鱼柳、生）,,
Batch-01,F005824,唇指鲈（鱼柳、生）,fish_seafood,,,disable,唇指鲈（鱼柳、生）,,
Batch-01,F005825,唇指鲈（鱼柳、蒸制、无加油脂）,fish_seafood,,,disable,唇指鲈（鱼柳、蒸制、无加油脂）,,
Batch-01,F005922,黄眼鲻鱼（鱼柳、生）,fish_seafood,,,disable,黄眼鲻鱼（鱼柳、生）,,
